assedicCertInitialStateNum,assedicCertObjectNum,businessUnit,calcMethodIndicator,commitmentIndicator,company,contractReferenceForAed,contractType,costCenter,countryOfCompany,createdBy,createdDateTime,createdOn,defaultOvertimeCompensationVariant,department,division,eeo1JobCategory,eeo4JobCategory,eeo5JobCategory,eeo6JobCategory,eeoClass,electoralCollegeForWorkersRepresentatives,electoralCollegeForWorksCouncil,empRelationship,emplStatus,employeeClass,employeeWorkgroupMembership,employmentType,endDate,event,eventReason,exclExecutiveSector,expectedReturnDate,familyRelationshipWithEmployer,fgtsDate,fgtsOptant,fgtsPercent,flsaStatus,fte,harmfulAgentExposure,hazard,healthRisk,holidayCalendarCode,isCompetitionClauseActive,isFulltimeEmployee,isSideLineJobAllowed,jobCode,jobTitle,laborProtection,lastModifiedBy,lastModifiedDateTime,lastModifiedOn,location,managerId,mandatoryWorkBreakRecord,municipalInseeCode,notes,operation,payGrade,payScaleArea,payScaleGroup,payScaleLevel,payScaleType,pcfm,pensionProtection,permitIndicator,position,positionEntryDate,probationPeriodEndDate,regularTemp,residentVote,retired,seqNumber,sickPaySupplement,standardHours,startDate,teachersPension,timeRecordingAdmissibilityCode,timeRecordingProfileCode,timeRecordingVariant,timeTypeProfileCode,timezone,travelDistance,tupeOrgNumber,userId,workLocation,workerCategory,workingDaysPerWeek,workingTimeDirective,workscheduleCode,wtdHoursLimit
,,BU_0008,,,8001009,,,44200,,,,,,8005049,8003001,,,,,,,,,2003,2041,,,20140215,975,NEW_HIRE,,,,,,,,1,,,,,,,,44,Senior Accountant,,,,,,E100669,,,,,,,,,,,,,,,,867,,,1,,37.5,20130227,,,,,,,,,E100947,LOC19,,,,,
,,BU_0009,,,8001008,,,44400,,,,,,8005004,8003001,,,,,,,,,2008,2041,,,20150914,986,TERM_DATA_MIG,,,,,,,,1,,,,,,,,46,Accountant - Specialist 1,,,,,,E100959,,,,,,,,,,,,,,,,867,,,1,,35,20150914,,,,,,,,,E101365,LOC30,,,,,
,,BU_0009,,,8001008,,,44400,,,,,,8005004,8003001,,,,,,,,,2003,2041,,,99991231,982,REHIRE,,,,,,,,1,,,,,,,,46,Accountant - Specialist 1,,,,,,E100959,,,,,,,,,,,,,,,,867,,,1,,35,20150915,,,,,,,,,E101365,LOC30,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2008,2041,,,99991231,986,RES_CAR_MOVE,,,,,,,,1,,,,,,,,47,Enterprise Solutions Architect,,,,,,E100467,,,,,,,,,,,,,,,,867,,,1,,35,20160707,,,,,,,,,E101529,LOC30,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2008,2041,,,99991231,986,RES_CAR_MOVE,,,,,,,,1,,,,,,,,47,Enterprise Solutions Architect,,,,,,E100467,,,,,,,,,,,,,,,,867,,,1,,35,20150322,,,,,,,,,E100713,LOC29,,,,,
,,BU_0014,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,99991231,970,ORG_RESTRUCT,,,,,,,,1,,,,,,,,47,Enterprise Solutions Architect,,,,,,E100467,,,,,,,,,,,,,,,,867,,,1,,35,20170101,,,,,,,,,E101865,LOC30,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20141130,975,NEW_HIRE,,,,,,,,1,,,,,,,,47,Enterprise Solutions Architect,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20120418,,,,,,,,,E100713,LOC28,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20150321,970,OTH_JOB_CHG,,,,,,,,1,,,,,,,,47,Enterprise Solutions Architect,,,,,,E100467,,,,,,,,,,,,,,,,867,,,1,,35,20141201,,,,,,,,,E100713,LOC29,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20161231,975,NEW_HIRE,,,,,,,,1,,,,,,,,47,Enterprise Solutions Architect,,,,,,E100467,,,,,,,,,,,,,,,,867,,,1,,35,20160615,,,,,,,,,E101865,LOC30,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20150320,975,NEW_HIRE,,,,,,,,1,,,,,,,,47,Enterprise Solutions Architect,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20150319,,,,,,,,,E101529,LOC29,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20150630,970,OTH_JOB_CHG,,,,,,,,1,,,,,,,,47,Enterprise Solutions Architect,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20150321,,,,,,,,,E101529,LOC29,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20151102,970,XFER,,,,,,,,1,,,,,,,,47,Enterprise Solutions Architect,,,,,,,,,,,,,,,,,,,,,,867,,,1,,35,20150701,,,,,,,,,E101529,LOC29,,,,,
,,BU_0007,,,8001008,,,30008,,,,,,8005075,8003001,,,,,,,,,2003,2041,,,20160706,970,OTH_JOB_CHG,,,,,,,,1,,,,,,,,47,Enterprise Solutions Architect,,,,,,E100467,,,,,,,,,,,,,,,,867,,,1,,35,20151103,,,,,,,,,E101529,LOC30,,,,,
,,BU_0007,,,8001009,,,99999,,,,,,8005079,8003001,,,,,,,,,2008,2041,,,99991231,986,RES_CAR_MOVE,,,,,,,,1,,,,,,,,48,IT Administrator,,,,,,E100818,,,,,,,,,,,,,,,,867,,,1,,37.5,20130630,,,,,,,,,E100898,LOC19,,,,,
,,BU_0007,,,8001009,,,99999,,,,,,8005079,8003001,,,,,,,,,2003,2041,,,20130629,975,NEW_HIRE,,,,,,,,1,,,,,,,,48,IT Administrator,,,,,,E100818,,,,,,,,,,,,,,,,867,,,1,,37.5,20121215,,,,,,,,,E100898,LOC19,,,,,
,,BU_0007,,,8001009,,,30005,,,,,,8005078,8003001,,,,,,,,,2003,2041,,,20150518,970,JOB_TIT_UPD,,,,,,,572,1,,,,,,,,48,IT Administrator,,,,,,,,,,,,,,,,,,,,,,867,,,1,,37.5,20130901,,,,,,,,,E100867,LOC19,,,,,
